candle_idx,timestamp,sweep_type,bias,swing_price,close_price,rsi,regime,entry_price,exit_price,mfe_pct,mae_pct,outcome
829,2024-05-02 12:00:00+00:00,LOW,BULLISH,59040.3,59281.57,36.63164540837517,HIGH_VOL,59281.57,62913.03,6.889409305455308,1.0673469005628529,CORRECT
847,2024-05-05 12:00:00+00:00,HIGH,BEARISH,64546.0,64424.47,84.97320957916017,RANGING,64424.47,63162.24,2.669777492930866,1.7058269939977795,CORRECT
870,2024-05-09 08:00:00+00:00,LOW,BULLISH,60851.04,61031.39,30.90589458342113,RANGING,61031.39,60652.05,3.995665181474649,1.4441584895903559,WRONG
871,2024-05-09 12:00:00+00:00,LOW,BULLISH,61756.94,62130.2,37.923694299336375,RANGING,62130.2,60787.47,2.1564392195743824,3.187177894164186,WRONG
878,2024-05-10 16:00:00+00:00,LOW,BULLISH,60601.6,60652.05,39.343770797061026,RANGING,60652.05,60911.17,1.3683791396993128,0.48120385048815423,CORRECT
993,2024-05-29 20:00:00+00:00,LOW,BULLISH,67437.11,67569.45,27.758175538458318,RANGING,67569.45,68172.43,2.911730079199997,0.7052595514688866,CORRECT
1046,2024-06-07 16:00:00+00:00,LOW,BULLISH,68542.37,69206.35,35.37672004472756,RANGING,69206.35,69260.17,0.4916167374814535,0.38174242681488374,CORRECT
1054,2024-06-09 00:00:00+00:00,LOW,BULLISH,69200.0,69260.17,36.67185056300637,RANGING,69260.17,69446.32,0.8500845435406874,0.17132501984907558,CORRECT
1092,2024-06-15 08:00:00+00:00,LOW,BULLISH,66200.0,66268.51,38.10258496714911,TRENDING_DOWN,66268.51,66500.59,0.7416644798562776,0.7056896254344548,CORRECT
1113,2024-06-18 20:00:00+00:00,LOW,BULLISH,65050.0,65152.8,38.03476996717906,TRENDING_DOWN,65152.8,65838.66,1.2190573544038015,0.794010387888164,CORRECT
1207,2024-07-04 12:00:00+00:00,LOW,BULLISH,57875.18,58100.21,18.863032036307956,RANGING,58100.21,56639.43,1.1497204571205475,7.917888764945941,WRONG
1218,2024-07-06 08:00:00+00:00,LOW,BULLISH,56709.73,56741.33,37.08169285868315,HIGH_VOL,56741.33,57146.1,3.0676757136288475,0.4046961888274467,CORRECT
1296,2024-07-19 08:00:00+00:00,LOW,BULLISH,63853.99,64104.47,35.822602625431045,RANGING,64104.47,67269.08,5.507463052108533,0.11451619520448962,CORRECT
1325,2024-07-24 04:00:00+00:00,LOW,BULLISH,65820.18,66076.96,33.482418986678155,RANGING,66076.96,64778.81,1.5954275136144151,4.0324191669834795,WRONG
1346,2024-07-27 16:00:00+00:00,HIGH,BEARISH,68305.64,68273.79,83.49212692830307,RANGING,68273.79,69345.75,2.3999107124417653,2.227882764381489,WRONG
1364,2024-07-30 16:00:00+00:00,LOW,BULLISH,65846.38,65891.91,34.89473252290463,RANGING,65891.91,63901.37,1.4349105982813226,3.30133092211169,WRONG
1389,2024-08-03 20:00:00+00:00,LOW,BULLISH,60240.5,60674.93,39.41811682923576,HIGH_VOL,60674.93,52692.97,0.6713975607388466,19.159346372546285,WRONG
1462,2024-08-16 00:00:00+00:00,LOW,BULLISH,57717.89,57904.53,34.612207839700346,HIGH_VOL,57904.53,59135.32,3.397108999934896,0.6148914428629256,CORRECT
