candle_idx,timestamp,sweep_type,bias,swing_price,sweep_price,close_price,rsi,rsi_extreme,entry_price,exit_price,mfe_pct,mae_pct,net_move_pct,outcome,regime
2287,2024-12-31 12:00:00+00:00,LOW,BULLISH,94655.14,94087.82,95272.0,50.71667840378729,False,95272.0,94383.59,0.192,2.654,-0.932,WRONG,RANGING
2288,2024-12-31 16:00:00+00:00,HIGH,BEARISH,95149.0,95454.98,94022.1,46.51062662939606,False,94022.1,94827.25,1.36,1.4,-0.856,WRONG,RANGING
2292,2025-01-01 08:00:00+00:00,LOW,BULLISH,93040.41,92743.63,93250.79,48.90677211895281,False,93250.79,97224.83,4.777,0.084,4.262,CORRECT,TRENDING_DOWN
2295,2025-01-01 20:00:00+00:00,HIGH,BEARISH,94910.48,94960.91,94383.59,61.08539683627268,False,94383.59,96232.47,0.219,3.595,-1.959,WRONG,RANGING
2311,2025-01-04 12:00:00+00:00,HIGH,BEARISH,97776.99,98143.1,97649.43,64.72396374556925,False,97649.43,98345.33,0.409,1.193,-0.713,WRONG,TRENDING_UP
2312,2025-01-04 16:00:00+00:00,HIGH,BEARISH,98296.72,98500.0,98156.45,62.26839378405021,False,98156.45,98993.48,0.923,1.114,-0.853,WRONG,TRENDING_UP
2312,2025-01-04 16:00:00+00:00,LOW,BULLISH,97749.98,97550.47,98156.45,62.26839378405021,False,98156.45,98993.48,1.114,0.923,0.853,CORRECT,TRENDING_UP
2317,2025-01-05 12:00:00+00:00,LOW,BULLISH,97516.65,97250.0,98003.23,67.17530300914063,False,98003.23,102279.41,4.588,0.452,4.363,CORRECT,TRENDING_UP
2318,2025-01-05 16:00:00+00:00,LOW,BULLISH,98020.01,97560.0,98060.46,64.49069614688071,False,98060.46,101730.11,4.768,0.164,3.742,CORRECT,TRENDING_UP
2319,2025-01-05 20:00:00+00:00,HIGH,BEARISH,98761.02,98814.0,98345.33,60.323396791825,False,98345.33,101684.3,0.453,4.465,-3.395,WRONG,TRENDING_UP
2329,2025-01-07 12:00:00+00:00,HIGH,BEARISH,98494.82,100968.23,97902.38,48.33993272465165,False,97902.38,95036.63,5.518,0.431,2.927,CORRECT,RANGING
2329,2025-01-07 12:00:00+00:00,LOW,BULLISH,97250.0,97100.0,97902.38,48.33993272465165,False,97902.38,95036.63,0.431,5.518,-2.927,WRONG,RANGING
2337,2025-01-08 20:00:00+00:00,LOW,BULLISH,94510.0,93571.92,95036.63,18.834667144536752,True,95036.63,94486.6,0.344,4.051,-0.579,WRONG,RANGING
2341,2025-01-09 12:00:00+00:00,LOW,BULLISH,92500.0,91750.0,94217.09,21.281662547679787,False,94217.09,94701.18,1.747,3.216,0.514,CORRECT,RANGING
2345,2025-01-10 04:00:00+00:00,HIGH,BEARISH,94672.48,94986.94,94486.6,39.83377166251526,False,94486.6,94379.55,2.41,1.457,0.113,CORRECT,TRENDING_DOWN
2348,2025-01-10 16:00:00+00:00,HIGH,BEARISH,95363.26,95862.92,95333.1,50.85032301337181,False,95333.1,94584.95,1.604,0.132,0.785,CORRECT,RANGING
2349,2025-01-10 20:00:00+00:00,HIGH,BEARISH,95283.59,95459.28,94701.18,47.28822701305235,False,94701.18,94275.17,0.947,0.298,0.45,CORRECT,RANGING
2355,2025-01-11 20:00:00+00:00,HIGH,BEARISH,94751.35,94983.65,94565.02,51.61819928877928,False,94565.02,93536.22,1.431,1.412,1.088,CORRECT,RANGING
2358,2025-01-12 08:00:00+00:00,LOW,BULLISH,93804.05,93670.3,94209.21,53.61408098271162,False,94209.21,92253.2,1.795,5.499,-2.076,WRONG,RANGING
2360,2025-01-12 16:00:00+00:00,HIGH,BEARISH,94983.65,95259.0,94604.55,46.51691112840238,False,94604.55,94836.47,5.894,1.369,-0.245,WRONG,RANGING
2361,2025-01-12 20:00:00+00:00,LOW,BULLISH,93882.5,93750.0,94509.62,57.04079285050585,False,94509.62,94828.02,1.471,5.799,0.337,CORRECT,RANGING
